BUKRS;KTOPL;SAKNR;BILKT;FISC_YEAR;FIS_PERIOD;DEBITS_PER;CREDIT_PER;PER_SALES;BALANCE;CURRENCY
MUSE;MUSE;0000111180;0000110100;2017;08; 0; 0; 0; 5296647;CLP
MUSE;MUSE;0000111220;0000110100;2017;08; 0; 0; 0; -981298;CLP
MUSE;MUSE;0000111230;0000110100;2017;08; 0; 0; 0; 444768;CLP
MUSE;MUSE;0000111231;0000110100;2017;08; 0; 0; 0; -300000;CLP
MUSE;MUSE;0000111232;0000110100;2017;08; 0; 0; 0; 132300;CLP
MUSE;MUSE;0000111240;0000110100;2017;08; 0; 0; 0; 525744;CLP
MUSE;MUSE;0000111241;0000110100;2017;08; 0; 0; 0; -3151946;CLP
MUSE;MUSE;0000111242;0000110100;2017;08; 0; 0; 0; 2706986;CLP
MUSE;MUSE;0000111250;0000110100;2017;08; 0; 0; 0; 187849810;CLP
MUSE;MUSE;0000111251;0000110100;2017;08; 0; 0; 0; -9944120;CLP
MUSE;MUSE;0000111252;0000110100;2017;08; 0; 0; 0; -5020801;CLP
MUSE;MUSE;0000111260;0000110100;2017;08; 0; 0; 0; 23396339;CLP
MUSE;MUSE;0000111261;0000110100;2017;08; 0; 0; 0; -17855204;CLP
MUSE;MUSE;0000111262;0000110100;2017;08; 0; 0; 0; 1958746;CLP
MUSE;MUSE;0000111270;0000110100;2017;08; 0; 0; 0; 10618308;CLP
MUSE;MUSE;0000111271;0000110100;2017;08; 0; 0; 0; -710457;CLP
MUSE;MUSE;0000111272;0000110100;2017;08; 0; 0; 0; 47588;CLP
MUSE;MUSE;0000111280;0000110100;2017;08; 0; 0; 0; -525032;CLP
MUSE;MUSE;0000111281;0000110100;2017;08; 0; 0; 0; -3057026;CLP
MUSE;MUSE;0000111282;0000110100;2017;08; 0; 0; 0; 5828135;CLP
MUSE;MUSE;0000111290;0000110100;2017;08; 0; 0; 0; 24637540;CLP
MUSE;MUSE;0000111291;0000110100;2017;08; 0; 0; 0; -2588810;CLP
MUSE;MUSE;0000111292;0000110100;2017;08; 0; 0; 0; 2417343;CLP
MUSE;MUSE;0000111300;0000110100;2017;08; 0; 0; 0; 15017526;CLP
MUSE;MUSE;0000111301;0000110100;2017;08; 0; 0; 0; -7430150;CLP
MUSE;MUSE;0000111302;0000110100;2017;08; 0; 0; 0; 11144221;CLP
MUSE;MUSE;0000111310;0000110100;2017;08; 0; 0; 0; 10635906;CLP
MUSE;MUSE;0000111311;0000110100;2017;08; 0; 0; 0; 0;CLP
MUSE;MUSE;0000111312;0000110100;2017;08; 0; 0; 0; -829577;CLP
MUSE;MUSE;0000111320;0000110100;2017;08; 0; 0; 0; 8626923;CLP
MUSE;MUSE;0000111321;0000110100;2017;08; 0; 0; 0; -93503;CLP
MUSE;MUSE;0000111322;0000110100;2017;08; 0; 0; 0; 3297729;CLP
MUSE;MUSE;0000111330;0000110100;2017;08; 0; 0; 0; 16554394;CLP
MUSE;MUSE;0000111331;0000110100;2017;08; 0; 0; 0; -2497443;CLP
MUSE;MUSE;0000111332;0000110100;2017;08; 0; 0; 0; 4532346;CLP
MUSE;MUSE;0000111350;0000110100;2017;08; 0; 0; 0; 8181888;CLP
MUSE;MUSE;0000111351;0000110100;2017;08; 0; 0; 0; -1212413;CLP
MUSE;MUSE;0000111352;0000110100;2017;08; 0; 0; 0; 2156826;CLP
MUSE;MUSE;0000111360;0000110100;2017;08; 0; 0; 0; 5936975;CLP
MUSE;MUSE;0000111361;0000110100;2017;08; 0; 0; 0; -1376689;CLP
MUSE;MUSE;0000111362;0000110100;2017;08; 0; 0; 0; 361458;CLP
MUSE;MUSE;0000111370;0000110100;2017;08; 0; 0; 0; 5798662;CLP
MUSE;MUSE;0000111371;0000110100;2017;08; 0; 0; 0; -2669866;CLP
MUSE;MUSE;0000111372;0000110100;2017;08; 0; 0; 0; -2849366;CLP
MUSE;MUSE;0000111380;0000110100;2017;08; 0; 0; 0; 2459604;CLP
MUSE;MUSE;0000111381;0000110100;2017;08; 0; 0; 0; -526620;CLP
MUSE;MUSE;0000111382;0000110100;2017;08; 0; 0; 0; 1397699;CLP
MUSE;MUSE;0000111390;0000110100;2017;08; 0; 0; 0; 9008791;CLP
MUSE;MUSE;0000111391;0000110100;2017;08; 0; 0; 0; -3861609;CLP
MUSE;MUSE;0000111392;0000110100;2017;08; 0; 0; 0; 1039494;CLP
MUSE;MUSE;0000111400;0000110100;2017;08; 0; 0; 0; 2693861;CLP
MUSE;MUSE;0000111401;0000110100;2017;08; 0; 0; 0; -4087519;CLP
MUSE;MUSE;0000111402;0000110100;2017;08; 0; 0; 0; 2292447;CLP
MUSE;MUSE;0000111410;0000110100;2017;08; 0; 0; 0; 147070;CLP
MUSE;MUSE;0000111411;0000110100;2017;08; 0; 0; 0; -21830;CLP
MUSE;MUSE;0000111412;0000110100;2017;08; 0; 0; 0; -101987;CLP
MUSE;MUSE;0000111420;0000110100;2017;08; 0; 0; 0; 0;CLP
MUSE;MUSE;0000111430;0000110100;2017;08; 0; 0; 0; 0;CLP
MUSE;MUSE;0000111440;0000110100;2017;08; 0; 0; 0; 0;CLP
MUSE;MUSE;0000111460;0000110100;2017;08; 0; 0; 0; 0;CLP
MUSE;MUSE;0000111470;0000110100;2017;08; 0; 0; 0; 183009;CLP
MUSE;MUSE;0000111471;0000110100;2017;08; 0; 0; 0; 0;CLP
